title,doi
Biomass pyrolysis-gasification-hydrogen generation cycle system coupled with tar chemical looping reforming process,10.1016/j.ijhydene.2024.05.263
Performance evaluation of carbon-negative syngas production via chemical looping reforming of methane from biomass pyrolysis volatiles,10.1016/j.ces.2024.120026
Negative net global warming potential hydrogen production through biomass gasification combined with chemical looping: Environmental and economic assessments,10.1016/j.ijhydene.2024.04.078
CFD-DEM simulation of chemical looping hydrogen generation in a moving bed reactor,10.1515/ijcre-2024-0001
Investigations on oxygen carriers derived from natural ores or industrial solid wastes for chemical looping hydrogen generation using biomass pyrolysis gas,10.1016/j.energy.2024.130501
Chemical looping gasification of biomass using rare earth oxides doped ferric oxide oxygen carrier for hydrogen-rich syngas production,10.1002/cjce.25138
Synergistic solar energy integration for enhanced biomass chemical looping hydrogen production: Thermodynamics and techno-economic analyses,10.1016/j.cej.2024.149734
A thermodynamic view on the in-situ carbon dioxide reduction by biomass-derived hydrogen during calcium carbonate decomposition,10.1016/j.cjche.2023.12.017
Review on techno-economics of hydrogen production using current and emerging processes: Status and perspectives,10.1016/j.rineng.2024.101890
Carbon-negative olefins production from biomass and solar energy via direct chemical looping,10.1016/j.energy.2023.129943
Substantiation by Calculation of a System for Hydrogen Production from Biomass Using Chemical Looping Gasification,10.1134/S0040601524020058
Progress in low carbon technologies for large-scale coal-fired power plants,10.13225/j.cnki.jccs.ZZ24.0060
Green hydrogen production from biomass – A thermodynamic assessment of the potential of conventional and advanced bio-oil steam reforming processes,10.1016/j.ijhydene.2023.10.099
Solar-driven biomass chemical looping gasification using Fe3O4 for syngas and high-purity hydrogen production,10.1016/j.cej.2023.147901
Advancements in materials for hydrogen production: A review of cutting-edge technologies,10.1016/j.chphma.2023.09.002
Biomass Waste-to-Hydrogen Conversion: Innovations in Methanol and Ammonia Production as Efficient and Sustainable Hydrogen Storage Pathways,10.1002/9781394234110.ch4
Biomass chemical looping: Advancements and strategies with the moving bed reactor for gasification and hydrogen generation,10.1016/j.energy.2023.129326
Simulation of the deoxygenated and decarburized biomass cascade utilization system for comprehensive upgrading of green hydrogen generation,10.1016/j.renene.2023.119504
Integrated process for simulation of gasification and chemical looping hydrogen production using Artificial Neural Network and machine learning validation,10.1016/j.enconman.2023.117702
Modelling and optimization of sorption-enhanced biomass chemical looping gasification coupling with hydrogen generation system based on neural network and genetic algorithm,10.1016/j.cej.2023.145303
Research progress on sludge / biomass chemical looping gasification and ash-moisture influence on gasification characteristics,10.13226/j.issn.1006-6772.CN22101201
Highly efficient and durable syngas production over one-step synthesized synergistic oxygen carriers in biomass chemical looping gasification,10.1016/j.biortech.2023.129553
Evaluation of iron-based chemical looping for hydrogen production from biomass using combined power cycle with carbon capturing and storage,10.1016/j.seta.2023.103418
"Carbon-negative co-production of methanol and activated carbon from bagasse pyrolysis, physical activation, chemical looping, and methanol synthesis",10.1016/j.enconman.2023.117481
Comparative Analysis of Energy and CO2 Emission for the Integration of Biomass Gasification with a Dual-Reactor Chemical Looping Hydrogen Production Process,10.1021/acs.energyfuels.3c02405
Improving bio aviation fuel yield from biogenic carbon sources through electrolysis assisted chemical looping gasification,10.1016/j.fuel.2023.128525
"Techno-economic analysis of a glycerol to methanol, ethylene glycol and 1,2-propanediol cogeneration process integrated with biomass chemical looping hydrogen generation",10.1016/j.jclepro.2023.137988
"Hydrogen, Ammonia and Symbiotic/Smart Fertilizer Production Using Renewable Feedstock and CO2 Utilization through Catalytic Processes and Nonthermal Plasma with Novel Catalysts and In Situ Reactive Separation: A Roadmap for Sustainable and Innovation-Based Technology",10.3390/catal13091287
Process modelling integrated with interpretable machine learning for predicting hydrogen and char yield during chemical looping gasification,10.1016/j.jclepro.2023.137579
Chemical looping reforming of toluene as bio-oil model compound via NiFe2O4@SBA-15 for hydrogen-rich syngas production,10.1016/j.biombioe.2023.106851
"Thermochemical conversion routes of hydrogen production from organic biomass: processes, challenges and limitations",10.1007/s13399-020-01127-9
Biomass energy perspective in Pakistan based on chemical looping gasification for hydrogen production and power generation,10.1016/j.ijhydene.2023.01.247
Simulation and process analysis of hydrogen-rich syngas production by chemical looping reforming of biomass pyrolysis volatiles based on decoupling strategy,10.13225/j.cnki.jccs.BE23.0496
Insight into the biomass pyrolysis volatiles reaction with an iron-based oxygen carrier in a two-stage fixed-bed reactor,10.1016/j.cej.2023.142860
Novel chemical looping oxidation of biomass-derived carbohydrates to super-high-yield formic acid using heteropolyacids as oxygen carrier,10.1016/j.renene.2023.03.025
Chemical looping gasification of biomass char for hydrogen-rich syngas production via Mn-doped Fe2O3 oxygen carrier,10.1016/j.ijhydene.2022.12.190
Advances in the application of active metal-based sorbents and oxygen carriers in chemical looping biomass steam gasification for H2 production,10.1016/j.ijhydene.2022.11.317
Experiment of chemical looping water decomposition coupled with acetic acid pyrolysis using Fe-based oxygen carriers,10.13226/j.issn.1006-6772.CN22121401
Novel BECCS implementation integrating chemical looping combustion with oxygen uncoupling and a kraft pulp mill cogeneration plant,10.1007/s11027-023-10057-6
Process Optimization and CO2 Emission Analysis of Coal/Biomass Gasification Integrated with a Chemical Looping Process,10.3390/en16062728
Hydrogen-rich syngas production from straw char by chemical looping gasification: The synergistic effect of Mn and Fe on Ni-based spinel structure as oxygen carrier,10.1016/j.fuel.2022.126803
High-purity hydrogen production from real biomass pyrolysis vapors via a chemical looping process,10.1039/d2se01635d
High purity hydrogen production via coupling CO2 reforming of biomass-derived gas and chemical looping water splitting,10.1016/j.apenergy.2022.120447
Selecting nitrogen carriers used for chemical looping ammonia generation of biomass and H2O by thermodynamic method,10.1016/j.ijhydene.2022.10.197
Thermodynamic modelling of hydrogen production in sorbent-enhanced biochar-direct chemical looping process,10.1002/cjce.24482
Biomass Steam Gasification for Bio-hydrogen Production via Co2 Capture,10.1007/978-981-19-3410-0_2
Energy and Exergy analysis of Biomass Direct Chemical Looping Combustion for CO2 capture and Utilization,10.1016/B978-0-443-15274-0.50478-9
Modulating lattice oxygen activity of Ca2Fe2O5 brownmillerite for the co-production of syngas and high purity hydrogen via chemical looping steam reforming of toluene,10.1016/j.apcatb.2022.122010
Assessing the feasibility of an integrated CLC-methanation system using solar dried and torrefied biomasses as a feedstock,10.1016/j.fuel.2022.125951
Reactivity and Stability of Different Red Muds as Oxygen Carriers for Chemical Looping Combustion of Methane and Biomass in a Fluidized Bed,10.1021/acs.energyfuels.2c03495
"Biomass fueled chemical looping hydrogen generation, high temperature solar thermal and thermochemical energy storage hybrid system",10.1016/j.est.2022.105657
Coupling process simulation and random forest model for analyzing and predicting biomass-to-hydrogen conversion,10.11949/0438-1157.20220816
Hydrogen-rich syngas production form biomass char by chemical looping gasification with Fe/Ca-based oxygen carrier,10.1016/j.seppur.2022.121912
Hydrogen production by organic waste chemical looping gasification (OW-CLG) enhanced by V2O3 catalysed reforming via partial oxidation approach,10.1016/j.indcrop.2022.115544
Hydrogen and ammonia production from low-grade agricultural waste adopting chemical looping process,10.1016/j.jclepro.2022.133827
Carbon-negative hydrogen from biomass using gas switching integrated gasification: Techno-economic assessment,10.1016/j.enconman.2022.116248
Hydrogen and power co-production from autothermal biomass sorption enhanced chemical looping gasification: Thermodynamic modeling and comparative study,10.1016/j.enconman.2022.116087
Clean Syngas and Hydrogen Co-Production by Gasification and Chemical Looping Hydrogen Process Using MgO-Doped Fe2O3 as Redox Material,10.3390/catal12101273
Biomass chemical looping gasification for high-quality syngas: A critical review and technological outlooks,10.1016/j.enconman.2022.116020
Production of ethanol from corn straw based on chemical looping gasification: Economic analysis,10.1016/j.biortech.2022.127568
Effect of hierarchical pore structure of oxygen carrier on the performance of biomass chemical looping hydrogen generation,10.1016/j.energy.2022.124301
Syngas production from cellulose solid waste by enhanced chemical looping gasification using Ca-Fe bimetallic oxygen carrier with porous structure,10.1016/j.fuel.2022.124106
"Fe2O3/TiO2 oxygen carrier for chemical looping combustion of CO, H2, and CH4 in a fluidized bed reactor",10.1016/j.mtcomm.2022.104026
Experimental Study on Chemical Looping Co-gasification of Alfalfa and Polyethylene with Iron Ore as the Oxygen Carrier for High H2/CO Production,10.1021/acs.energyfuels.2c00794
Research progress on catalytic hydrogen production based on steam reforming of light bio-oil,10.13226/j.issn.1006-6772.22022602
Recent development of biomass gasification for H2 rich gas production,10.1016/j.jaecs.2022.100059
Design and analysis of biomass-to-ammonia-to-power as an energy storage method in a renewable multi-generation system,10.1016/j.enconman.2022.115611
CO2-negative biomass conversion: An economic route with co-production of green hydrogen and highly porous carbon,10.1016/j.apenergy.2022.118685
Optimisation of syngas production from a novel two-step chemical looping reforming process using Fe-dolomite as oxygen carriers,10.1016/j.fuproc.2022.107169
Biomass chemical-looping gasification characteristics of K-modified BaFe2O4 oxygen carrier,10.11949/0438-1157.20211437
Synthesis gas and H2 production by chemical looping reforming using bio-oil from fast pyrolysis of wood as raw material,10.1016/j.cej.2021.133376
Deoxygenation-enhanced chemical looping gasification: a new pathway to produce hydrogen from biomass†,10.1039/d1gc04733g
Assessment of a novel coupling integrated process for coproducing syngas and hydrogen from natural gas and biomass feedstocks with in-situ CO2 utilization,10.1016/j.enconman.2022.115241
Renewable hydrogen production from biogas using iron-based chemical looping technology,10.1016/j.cej.2021.132192
Cellulose gasification with Ca–Fe oxygen carrier in chemical-looping process,10.1016/j.energy.2021.122204
A novel system of biomass for the generation of inherently separated syngas by combining chemical looping CO2-gasification and steam reforming process,10.1016/j.enconman.2021.114876
Separated Biochar and Pyrolysis Gas of Biomass via Chemical Looping for Methanol and Ammonia Production,10.3303/CET2294081
The influence of hydrogen sulfide contaminations on hydrogen production in chemical looping processes,10.1016/j.fuel.2021.121677
Optimal Planning of a Novel Integrated Renewable Multi-Generation System Based on Biomass Chemical Looping,10.3303/CET2294026
Highly integrated system for ammonia and electricity production from biomass employing direct chemical looping: Exergy and exergoeconomic analyses,10.1016/j.enconman.2021.115013
Hydrogen Production,10.1007/978-3-030-72579-2_29
Techno-enviro-economic analysis of integrated direct chemical looping coal-based power generation and methanol synthesis using renewable hydrogen,10.1016/j.jcou.2021.101768
Feasibility of an integrated biomass-based CLC combustion and a renewable-energy-based methanol production systems,10.1016/j.renene.2021.06.114
"Recent progress in the steam reforming of bio-oil for hydrogen production: A review of operating parameters, catalytic systems and technological innovations",10.3390/catal11121526
Comparative thermodynamic and techno-economic assessment of green methanol production from biomass through direct chemical looping processes,10.1016/j.jclepro.2021.129023
A techno-economic analysis of solar catalytic chemical looping biomass refinery for sustainable production of high purity hydrogen,10.1016/j.enconman.2021.114341
Techno-economic analysis of processes with integration of fluidized bed heat exchangers for H2 production – Part 2: Chemical-looping combustion,10.1016/j.ijhydene.2021.04.170
Bifunctional Catalyst NiFe-MgAl for Hydrogen Production from Chemical Looping Ethanol Reforming,10.1021/acs.energyfuels.1c01253
Chemical looping gasification of torrefied woodchips in a bubbling fluidized bed test rig using iron-based oxygen carriers,10.1016/j.renene.2021.03.006
Efficient strategy of utilizing alkaline liquid waste boosting biomass chemical looping gasification to produce hydrogen,10.1016/j.fuproc.2021.106818
Alkali metal modified iron-nickel oxygen carrier to produce hydrogen-rich synthesis gas by chemical looping gasification with pine sawdust,10.1002/er.6131
Catalyzed ethanol chemical looping gasification mechanism on the perfect and reduced fe2o3 surfaces,10.3390/en14061663
"Application of dimethyl carbonate assisted chemical looping technology in the separation of the ethylene glycol and 1,2-butanediol mixture and coproduction of 1,2-butene carbonate",10.1021/acs.iecr.0c05639
Chemical looping conversion of biomass and biomass-derived feedstocks,10.1016/B978-0-12-821601-9.00004-2
High-quality syngas production from biomass driven by chemical looping on a PY-GA coupled reactor,10.1016/j.energy.2020.118846
Steel converter slag as an oxygen carrier for chemical-looping gasification,10.1016/j.fuproc.2020.106576
Techno-economic analysis of low-carbon hydrogen production by sorption enhanced steam methane reforming (SE-SMR) processes,10.1016/j.enconman.2020.113530
Evaluation of hydrogen production with iron-based chemical looping fed by different biomass,10.1016/j.ijhydene.2020.04.119
Reduction mechanism study on sorption enhanced chemical looping gasification of biomass waste rice husk for H2 production over multi-functional NixCa1−xO particles,10.1016/j.fuproc.2020.106524
Thermodynamic assessment and techno-economic analysis of a liquid indium-based chemical looping system for biomass gasification,10.1016/j.enconman.2020.113428
Process design and economic assessment of butanol production from lignocellulosic biomass via chemical looping gasification,10.1016/j.biortech.2020.123906
Biomass Chemical Looping Gasification of pine wood using a synthetic Fe2O3/Al2O3 oxygen carrier in a continuous unit,10.1016/j.biortech.2020.123908
"An overview of solar decarbonization processes, reacting oxide materials, and thermochemical reactors for hydrogen and syngas production",10.1016/j.ijhydene.2020.04.098
CaO-Assisted Alkaline Liquid Waste Drives Corn Stalk Chemical Looping Gasification for Hydrogen Production,10.1021/acsomega.0c02787
Analysis of the sorption-enhanced chemical looping biomass gasification process: Performance assessment and optimization through design of experiment approach,10.1016/j.energy.2020.118190
Performance and mechanism study of LaFeO3 for biomass chemical looping gasification,10.1007/s10853-020-04890-2
Activating Fe2O3 using K2CO3-containing ethanol solution for corn stalk chemical looping gasification to produce hydrogen,10.1016/j.ijhydene.2020.05.226
Modelling of a combined biomass CLC combustion and renewable-energy-based methane production system for CO2 utilization,10.1016/j.powtec.2020.06.059
A novel system of biomass-based hydrogen production by combining steam bio-oil reforming and chemical looping process,10.1016/j.apenergy.2020.115122
Thermodynamic equilibrium analysis of H2-rich syngas production via sorption-enhanced chemical looping biomass gasification,10.1016/j.renene.2019.10.097
High-efficiency bioenergy carbon capture integrating chemical looping combustion with oxygen uncoupling and a large cogeneration plant,10.3390/en13123075
Hydrogen-rich syngas production with tar elimination via biomass chemical looping gasification (BCLG) using BaFe2O4/Al2O3 as oxygen carrier,10.1016/j.cej.2020.124107
High purity hydrogen from biogas via steam iron process: Preventing reactor clogging by interspersed coke combustions,10.1016/j.renene.2019.11.060
Chemical Looping Reforming of Glycerol for Continuous H2 Production by Moving-Bed Reactors: Simulation and Experiment,10.1021/acs.energyfuels.9b03728
Chemical looping gasification of biomass with Fe2O3/CaO as the oxygen carrier for hydrogen-enriched syngas production,10.1016/j.cej.2019.122346
Hydrogen production from chemical looping reforming: Current status and future perspective,10.1016/B978-0-12-819553-6.00004-0
Hydrogen Production by Chemical Looping Gasification of Corn Stalk Driven by a tert-Butanol Solution,10.1007/s40242-019-9225-z
CFD simulation of a fluidized bed reactor for biomass chemical looping gasification with continuous feedstock,10.1016/j.enconman.2019.112143
High H2/CO ratio syngas production from chemical looping co-gasification of biomass and polyethylene with CaO/Fe2O3 oxygen carrier,10.1016/j.enconman.2019.111951
Towards clean palm oil processing: Integrated ammonia production from empty fruit bunch and palm oil effluent,10.1016/j.jclepro.2019.117680
Chemical looping gasification of coal using calcium ferrites as oxygen carrier,10.1016/j.fuproc.2019.04.009
Research progress on biomass chemical-looping conversion technology,10.11949/0438-1157.20190309
Reaction schemes of barium ferrite in biomass chemical looping gasification for hydrogen-enriched syngas generation via an outer-inner looping redox reaction mechanism,10.1016/j.enconman.2019.03.084
Microalgae-based coproduction of ammonia and power employing chemical looping process,10.1016/j.cherd.2019.04.013
Biomass Gasification Integrated with Chemical Looping System for Hydrogen and Power. Coproduction Process – Thermodynamic and Techno-Economic Assessment,10.1002/ceat.201900130
Syngas production from biomass using Fe-based oxygen carrier: Optimization,10.1016/j.biortech.2019.02.012
Syngas production and trace element emissions from microwave-assisted chemical looping gasification of heavy metal hyperaccumulators,10.1016/j.scitotenv.2018.12.176
Enhanced chemical looping hydrogen production based on biomass ash-promoted iron ore oxygen carrier,10.1016/j.cej.2018.11.226
"Identifying the roles of MFe 2 O 4 (M=Cu, Ba, Ni, and Co) in the chemical looping reforming of char, pyrolysis gas and tar resulting from biomass pyrolysis",10.1016/j.ijhydene.2018.12.216
Using chemical looping gasification with Fe 2 O 3 /Al 2 O 3 oxygen carrier to produce syngas (H 2 +CO) from rice straw,10.1016/j.ijhydene.2018.06.147
"Solar-Wind-Bio Ecosystem for Biomass Cascade Utilization with Multigeneration of Formic Acid, Hydrogen, and Graphene",10.1021/acssuschemeng.8b05546
Hydrogen production from the thermochemical conversion of biomass: Issues and challenges,10.1039/c8se00535d
Chemical looping hydrogen production with modified iron ore as oxygen carriers using biomass pyrolysis gas as fuel,10.1039/c9ra08936e
Dual-stage chemical looping of microalgae for methanol production with negative-carbon emission,10.1016/j.egypro.2019.01.218
Efficient black liquor conversion to power and H2 by adopting negative emission technology,10.1016/j.egypro.2019.01.087
Chemical looping dry reforming of benzene as a gasification tar model compound with Ni- and Fe-based oxygen carriers in a fluidized bed reactor,10.1016/j.ijhydene.2018.08.103
Hydrogen-Rich Syngas Production from Chemical Looping Gasification of Biomass Char with CaMn1- xFexO3,10.1021/acs.energyfuels.8b01836
Performance of NiFe2O4 oxygen carrier in hydrogen production by chemical looping steam reforming,10.16606/j.cnki.issn0253-4320.2018.09.021
Life cycle assessment of hydrogen production via iron-based chemical-looping process using non-aqueous phase bio-oil as fuel,10.1016/j.ijggc.2018.06.020
Syngas production by chemical-looping gasification of wheat straw with Fe-based oxygen carrier,10.1016/j.biortech.2018.02.064
Exploring novel hydrogen production processes by integration of steam methane reforming with chemical-looping combustion (CLC-SMR) and oxygen carrier aided combustion (OCAC-SMR),10.1016/j.ijggc.2018.01.008
Assessment of a novel biomass-coal gasification-based system for hydrogen and power co-generation integrated with chemical looping technology,
Analysis of syngas production via sorption enhanced chemical looping biomass gasification,
"Hydrogen production from biomass using iron-based chemical looping technology: Validation, optimization, and efficiency",10.1016/j.cej.2017.12.121
Chemical-looping technologies using circulating fluidized bed systems: Status of development,10.1016/j.fuproc.2017.11.016
Hydrogen from Pyrolysis Oil by Chemical Looping of a Sol–Gel-Prepared Iron(III) Oxide on Magnesium Aluminate as Oxygen Carrier,10.1002/ente.201700398
Thermodynamic analysis of hydrogen-enriched syngas generation coupled with in situ CO2 capture using chemical looping gasification method,10.1007/s10973-017-6596-6
Simulation on hydrogen production from biomass with CaO-based chemical looping gasification,
Chemical Looping and Plasma Technologies for Gasification of Coal and Biomass,10.1007/978-981-10-7335-9_20
CaO-based chemical looping gasification of biomass for the production of hydrogen-enriched gas and CO2 negative emissions: A review,10.1615/InterJEnerCleanEnv.2018025185
Efficient black liquor conversion to power and H 2 based on process integration and exergy recovery,10.1016/j.egypro.2018.09.181
