title,doi
"Experimental investigation on hydrogen-rich syngas production via gasification of common wood pellet in Bangladesh: Optimization, mathematical modeling, and techno-econo-environmental feasibility studies",10.1007/s13399-024-05875-w
The Influence of Supercritical Water Flow Rate on the Hydrogen Production Rate by Gasification of Coal Particles,
Formation and properties of carbon/coke as nanostructured materials and deactivating agent in the ethanol steam reforming over a catalyst derived from Ni-Al spinel,10.1016/j.fuel.2024.134082
Catalytic influence on biomass gasification behaviour in nickel-modified natural zeolite catalysts,10.2306/scienceasia1513-1874.2025.024
Optimization of biomass torrefaction densification process parameters: Impact on hydrogen-rich syngas generation in the gasification process,10.1016/j.biombioe.2025.107703
Thermodynamic and environmental analysis of food waste supercritical water gasification integrated H2 in-situ separation system,10.1016/j.applthermaleng.2025.125460
Co3O4 and CoFe2O4 as oxygen carriers in straw char on solid-solid and gas-solid reactions behavior during chemical-looping gasification for hydrogen-rich syngas production,10.1016/j.jece.2025.115799
Insight into carbon structural variation from steam gasification of rice straw on enhancing hydrogen generation,10.1016/j.jenvman.2025.124815
Life cycle greenhouse gas emissions of hydrogen imported by maritime transportation: A South Korean case study,10.1016/j.ecmx.2025.100887
Hydrogen production from woody biomass via fixed-bed gasification at pilot-scale,10.1016/j.ijhydene.2025.02.357
Effect of additives on nickel/calcined dolomite catalyst performance for corn stalk gasification hydrogen production,10.1016/j.ijhydene.2025.02.214
Combining Biomass Gasification and LOHC Mixed Gas Hydrogenation for High Purity Hydrogen Production and Storage,10.1021/acssuschemeng.4c10235
An efficient low-carbon hydrogen production system based on novel staged gasification coupling with chemical looping technology,10.1016/j.enconman.2025.119625
Development of a novel hydrogen liquefaction structure based on liquefied natural gas regasification operations and solid oxide fuel cell: Exergy and economic analyses,10.1016/j.fuel.2024.133826
High-efficiency steam catalytic co-gasification of corncob mediated by corncob char supported catalyst to produce H2 rich synthesis gas,10.1016/j.ijhydene.2025.02.028
Sustainable ammonia production from plastic waste gasification integrated with partial oxidation: Technoeconomic assessment,10.1016/j.ijhydene.2025.02.099
Sustainable hydrogen production from waste of expired breads through supercritical water gasification,10.1016/j.ijhydene.2024.01.190
Catalytic supercritical water gasiﬁcation of oily sludge with the FeOOH/AC for hydrogen production,10.1016/j.ijhydene.2024.06.123
Waste Coconut oil meal to Hydrogen production through combined steam/water gasification with varying operating parameters and NaCl additions,10.1016/j.ijhydene.2024.01.323
Some aspects of calculation of processes of hydrogen production from biomass,10.1016/j.ijhydene.2025.01.199
Study on the Effects of Tar Reforming and Steam Gasification of Keyaki Bark in Saitama Prefecture,10.3390/su17052215
Hydrogen-Rich Bio-Syngas Production of Empty Fruit Bunch by Novel Limonite Catalytic Gasification,10.1002/ceat.202400367
Study on biomass adsorption-enhanced steam gasification for hydrogen production based on dual-effect catalyst,10.1002/ep.14566
Biomass and waste plastics chemical looping co-gasification for hydrogen-electricity-DME conservation and recycling based on machine learning,10.1016/j.energy.2025.134868
Recover waste greywater to algae biomass for catalytic conversion of higher hydrogen production via supercritical water gasification reaction,10.1016/j.biombioe.2025.107642
Economic Analysis of Biomass-to-Hydrogen by Calcium Cycling Gasifier Based on Compact Fluidized Bed,10.19805/j.cnki.jcspe.2025.240155
Comprehensive Analysis of Hydrodynamic Parameters for Fluidized Bed Gasifier to Enrich Renewable Hydrogen: A Review,10.1007/s11831-024-10150-2
"Biochar chemical-looping gasification for hydrogen-rich syngas production in solid-solid reaction: O, H and CaO of carbide slag effect NiFe2O4 oxygen carrier",10.1016/j.jenvman.2025.124560
Multiparametric Study of Water–Gas Shift and Hydrogen Separation Performance in Membrane Reactors Fed with Biomass-Derived Syngas,10.3390/hydrogen6010006
COMPARATIVE ECONOMIC AND ENVIRONMENTAL PERFORMANCE ASSESSMENT OF BIOMASS GASIFICATION PATHWAY FOR GREEN H2 PRODUCTION,10.31025/2611-4135/2025.19470
Generation Characteristics of Gas Products in Fluidized Bed Gasification of Wood Pellets Under Oxygen-Enriched Conditions and Their Effects on Methanol Synthesis,10.3390/en18051310
Insights into reaction mechanisms: Water's role in enhancing in-situ hydrogen production from methane conversion in sandstone,10.1016/j.jechem.2024.10.055
"Integrated Planning Model for Optimizing Investments in Hydrogen Infrastructure Deployment: A Case Study of Yangtze River Delta Region, China",10.1002/ese3.2069
Effect analysis of feed structure and operation parameters on gasification reaction in the supercritical water fluidized bed via CFD-DEM method,10.1016/j.powtec.2024.120553
"Hydrogen conversion by microalgae through water gasification under different operating conditions, and Fe2O3, Al2O3, and CaO additives: An experimental study",10.1016/j.ijhydene.2024.09.003
B-site semi-doped LaFeO3 perovskite oxygen carrier for biomass chemical looping steam gasification to produce hydrogen-rich syngas,10.1016/j.ijhydene.2025.01.190
Integration of sorbent enhanced in hydrothermal waste transformation for negative CO2 emission fuel production: Techno-economic assessments,10.1016/j.enconman.2025.119519
Tar inhibition for hydrogen production from biomass gasification assisted by machine learning,10.1016/j.ijhydene.2025.01.034
"Process reconfiguration for the production of 1, 4-butanediol integrating coal with off-grid renewable electricity",10.1016/j.ijhydene.2025.01.105
Techno-economic analysis and optimization of water-gas shift membrane reactors for low-carbon hydrogen production,10.1016/j.ijhydene.2024.12.344
Process Optimization And Life Cycle Assessment In a 10MWth food waste chemical looping gasification system for hydrogen production,10.1016/j.psep.2024.12.103
A highly stable leaf-like Ni/Ca3AlO catalyst for hydrogen production from biomass gasification,10.1016/j.energy.2025.134638
Hydrothermal gasification of waste biomass and plastics into hydrogen-rich syngas: a review,10.1007/s10311-024-01793-5
Study on the comprehensive influence of Si-Al-based additives on hydrogen production and K deposition during biomass gasification,10.1016/j.joei.2024.101915
Oxygen updraft gasification of euro cotton banknotes waste for hydrogen-rich syngas production,10.1016/j.joei.2024.101906
A study on free radical behaviors and reactions in supercritical water using quantum chemical simulation,10.1016/j.molliq.2024.126791
Production of hydrogen-rich syngas from catalytic reforming of biomass gasification tar model compounds coupled with in-situ CO2 capture,10.1016/j.biombioe.2024.107569
Cerium oxide activated aquatic lettuce as source for hydrogen production via hydrothermal gasification: Performance measures,10.1016/j.biombioe.2024.107552
Investigation on co-gasification performances of sewage sludge and polyolefins by thermogravimetric analyze and two-stage fixed bed reactor,10.1016/j.joei.2024.101922
"Sustainability assessment of blue hydrogen production through biomass gasification: A comparative analysis of thermal, solar, and wind energy sources",10.1016/j.biortech.2024.131798
Gasification of olive tree pruning in a rotary kiln reactor integrated with radio frequency plasma torch,10.1016/j.fuel.2024.133480
Enhanced H2 production via catalytic steam reforming of acetic acid as bio-oil model compound using asymmetric-structured nickel hollow fiber membrane,10.1016/j.memsci.2024.123637
Enhancing syngas production and hydrogen content in syngas from catalytic slow pyrolysis of biomass in a pilot scale fixed bed reactor,10.1007/s13399-024-05453-0
Research on Hydrogen Production Process by Photothermal-Driven Sludge-Coal Thermochemical Synergistic Conversion,10.4271/2025-01-7061
Evaluation of synthesis gas production based on simulation study of steam fluidized bed gasification with shift reaction using raw and torrefied oil palm frond as feedstock,10.1063/5.0248802
Integrating machine learning predictions of pyrolysis products for improved biomass gasification simulations using the multiphase particle-in-cell method,10.1016/j.ijhydene.2024.12.358
"Thermodynamic analysis and multi-criteria optimization of supercritical water gasification for polygeneration of hydrogen, heat, and electricity from plastic wastes",10.1016/j.ijhydene.2024.12.345
Plastic waste gasification for low-carbon hydrogen production: a comprehensive review,10.1039/d4ya00292j
"Waste tires to blue hydrogen by integrating plasma gasification process, CO2 capture and cascade power generation: New process development and technical feasibility analysis",10.1016/j.energy.2024.134227
Municipal solid waste thermochemical conversion to substitute natural gas: Comparative techno-economic analysis between updraft gasification and chemical looping,10.1016/j.enconman.2024.119294
"Technical, economic, and environmental study with ANN-based optimization of a biomass-powered versatile/sustainable polygeneration system with carbon capture/utilization approach",10.1016/j.energy.2024.133935
"Energy, efficiency, economy, environmental assessment of hydrogen production via solar-driven steam gasification of fresh cow manure using Aspen Plus simulation model",10.1016/j.ijhydene.2024.12.081
Evaluation of the effect of hydrogen blending from municipal solid waste on a coal power plant in its flue gas content and performance,10.1016/j.ijhydene.2024.12.037
Hydrogen production for the synergistic catalytic of modified-titanium dioxide supported nickel catalyst with potassium carbonate catalyst by supercritical water gasification of coal,10.1016/j.ijhydene.2024.11.398
Low-emission hydrogen supply chain for oil refining: Assessment of large-scale production via electrolysis and gasification,10.1016/j.ijhydene.2024.11.448
Hydrogen and syngas production from gasification of solid fuels in a reciprocating porous media reactor,10.1016/j.ijhydene.2024.11.378
Numerical simulation of gasifier optimization for combined hydrogen production and carbon reduction in a chemical looping gasification (CLG) system,10.1016/j.ces.2024.120694
Cerium oxide activated microalgae growth from grey wastewater for bio-hydrogen extraction via KOH catalyst adopted gasification route: performance evaluation,10.1007/s13399-025-06574-w
Effect of Gasification Temperature on Biohydrogen Derived from Waste Agro Products for Alternative Fuel Application,10.4271/2024-01-5260
The catalytic influence of low-cost natural minerals on sewage sludge gasification for hydrogen production,10.1016/j.ijhydene.2025.03.009
Hydrogen-rich syngas production from sewage sludge and hydrochars via catalytic gasification with SrO,10.1016/j.ijhydene.2025.03.421
Hydrogen production through biomass gasification,10.1016/B978-0-443-16084-4.00001-8
Analysis of the Biomass Gasification Process for Hydrogen Production Using Response Surface Methodology,10.1007/978-981-96-1812-5_10
Analysis of chemical-looping method for production of hydrogen gas from sewage sludge,10.1007/s10163-024-02140-0
Synergistic effect of torrefaction and gasification temperatures on hydrogen-rich syngas quality from steam gasification of cornstalk-derived biochar,10.1016/j.seta.2024.104121
Thermodynamic investigation of biomass-steam gasification in converter vaporisation flue for synthesis gas production,10.1177/03019233241283593
Gasification of Residual Forest Biomass in the Context of Waste-to-Energy,10.1007/978-3-031-82407-4_7
"An Integrated Poly-generation System and Analysis Based on Coupling of Tire Pyrolysis, Waste Plasma Gasification and Water Electrolysis",10.19805/j.cnki.jcspe.2025.230524
Thermodynamic Assessment of Different Feedstocks Gasification Using Supercritical Water and CO2 for Hydrogen and Methane Production,10.3390/eng6010012
Economic Analysis and Comparison of Hydrogen Production Routes Based on Different Methods,10.1007/978-981-96-2042-5_62
Optimizing hydrogen production through steam gasification of biodiesel-derived waste glycerol: A parametric approach,10.21741/9781644903575-52
An Integrated Experimental and Simulation Study for the Feasibility of Underground H2 Production from Natural Gas Reservoirs,10.1021/acsomega.5c01056
Introduction to Renewable Sources and Technologies in Methanol Production,10.1016/B978-0-443-15740-0.00045-8
Life cycle assessment of hydrogen production pathways to support hydrogen decarbonization policies in a Canadian context,10.1007/s11708-025-1008-2
Hydrogen production and status in Canada: Foundations for a low-carbon future,10.1002/cjce.25620
"13th International Conference on Clean and Green Energy, ICCGE 2024",
Plasma-based technologies for sustainable hydrogen production: A data-driven bibliometric,10.21741/9781644903575-2
"A Comprehensive Review on Green Hydrogen, CCSU, and Methane Production Technologies",10.1201/9781032719436-4
Catalytic reforming of tar for enhancing hydrogen production from gasification of hazardous medical waste,10.1016/j.energy.2024.134184
Techno-economic analysis of sewage sludge supercritical water gasification for hydrogen and electricity co-generation system,10.1016/j.energy.2024.134061
Technoeconomic analysis of supercritical water gasification of canola straw for hydrogen production,10.1016/j.ijhydene.2024.11.088
"Investigation on Syngas production from forest Biomass (Sapele, Sypo and Ayous) wood in the downdraft gasifier using Aspen plus and IC engine integration",10.54966/jreen.v27i2.1308
Catalytic and Noncatalytic in Situ Hydrogen Production from Heavy Oil: A Review of Experimental Studies,10.1021/acsomega.4c07383
Numerical simulation and experimental study of hydrogen production from chili straw waste gasification using Aspen Plus,10.1016/j.ijhydene.2024.11.252
All wastes/residues are not equal for hydrogen production via gasification: Impacts of feedstock properties on process parameters,10.1016/j.ijhydene.2024.11.227
Optimizing hydrogen-rich gas production by steam gasification with integrated CaO-based adsorbent materials for CO2 capture: Machine learning approach,10.1016/j.ijhydene.2024.11.179
In-situ hydrogen production from petroleum reservoirs and the associated high temperature hydrogen attack: A review,10.1016/j.ijhydene.2024.11.280
Pre-pilot scale study of hydrogen production from biomass syngas via water-gas shift in Pd–Ag catalytic membrane reactor and dedicated hydrogen permeation unit,10.1016/j.ijhydene.2024.07.139
Enhanced hydrogen production and fuel conversion of an iron-based oxygen carrier in the chemical looping process by a small co-addition of CuO and NiO,10.1039/d4ta06562j
Exploring the spectrum: an environmental examination of hydrogen’s diverse colors,10.1039/d4ya00570h
Towards A hydrogen economy: Understanding pore alterations in the context of underground coal gasification,10.1016/j.jclepro.2024.144325
Reactive molecular dynamics simulations of poly(vinyl alcohol) gasification in supercritical carbon dioxide,10.1016/j.fuel.2024.132858
Effect of gasification input parameters and KOH catalyst action on functional properties of hydrogen production from municipal wastewater,10.1016/j.ijhydene.2024.11.171
Torrefaction integrated with steam gasification of agricultural biomass wastes for enhancing tar reduction and hydrogen-rich syngas production,10.1016/j.ijhydene.2024.11.144
Life cycle assessment of a process integrating supercritical water gasification with direct reduced iron production,10.1016/j.jclepro.2024.144250
Unveiling the potential of pyrolysis-gasification for hydrogen-rich syngas production from biomass and plastic waste,10.1016/j.enconman.2024.118997
Enhancement effect of semicoke waste heat on energy conservation and hydrogen production from biomass gasification,10.1016/j.renene.2024.121340
Mechanistic analysis of hydrogen-rich Co-gasification of pine wood and polypropylene-based waste masks using Fe/Dol catalyst,10.1016/j.joei.2024.101801
Utilizing supercritical water gasification for hydrogen production combined with a waste heat recovery system for domestic households,10.1016/j.rineng.2024.103432
Comparative analysis of the levelized cost of hydrogen production from fossil energy and renewable energy in China,10.1016/j.esd.2024.101588
Study on Chemical Looping Gasification of Biomass for Hydrogen-rich Syngas Production,
Analysis of the effects of Pr1-xCexCoO3/dolomite catalyst on energy saving and carbon reduction in biomass gasification for the production of hydrogen-rich syngas,10.1016/j.joei.2024.101766
Performance analysis of a pilot gasification system of biomass with stepwise intake of air-steam considering waste heat utilization,10.1016/j.renene.2024.121498
Renewable and high-purity hydrogen from lignocellulosic biomass in a biorefinery approach,10.1038/s41598-023-50611-5
Enhancing the potential for producing hydrogen-rich syngas through the steam gasification of low-value agro-industrial residues with torrefaction,10.1016/j.biombioe.2024.107457
Feasibility of waste-to-hydrogen generation system based on gasification/pyrolysis: a comprehensive review of experimental studies,10.1007/s10973-024-13776-3
Study on the mechanism of hydrogen production from bamboo gasification in supercritical water by ReaxFF molecular dynamics simulation,10.1016/j.biombioe.2024.107472
Catalytic steam reforming of waste tire pyrolysis volatiles using a tire char catalyst for high yield hydrogen-rich syngas,10.1016/j.fuproc.2024.108150
Environmental assessment of gasification and green hydrogen potential role in waste management decarbonization,10.1016/j.jclepro.2024.144174
Governing chemical reactions and mechanisms of hydrogen generation during in-situ combustion gasification of heavy oil,10.1016/j.ijhydene.2024.10.248
Establishment of machine learning-driven biomass pyrolysis model and optimization of volatiles chemical looping reforming hydrogen production process,10.11949/0438-1157.20240647
Comprehensive Analysis of Straw Steam Gasification Properties Based on Hydrolysis Pretreatment,10.1021/acs.energyfuels.4c04694
A biomass-based integrated energy system for urea and power production: Thermodynamic analysis,10.1016/j.ijhydene.2024.10.113
Numerical and experimental assessment of parametric effect on steam-carbon dioxide co-gasification of sewage sludge and coal in an updraft reactor,10.1016/j.ijhydene.2024.09.428
Comprehensive analysis of tar reduction method in biomass gasification for clean energy production: A Review,10.31603/mesi.12712
Modelling a hydrogen production system using solar hierarchical volumetric receivers and a steam gasification reactor,10.1039/d4se00779d
"A Comprehensive Technical, Environmental, Economic, and Bibliometric Assessment of Hydrogen Production Through Biomass Gasification, Including Global and Brazilian Potentials",10.3390/su16219213
Hydrogen production from sorption-enhanced water gas shrift of biomass gasification by in-situ H2 adsorption,10.3969/j.issn.1005-9954.2024.11.004
Organic municipal solid waste derived hydrogen production through supercritical water gasification process configured with K2CO3/SiO2: Performance study,10.1016/j.biombioe.2024.107379
Gasification Reaction on CeO2(111) and Effects on the Structural and Electronic Properties of Adsorption Molecules,10.1002/ceat.202300579
"Performance analysis of refuse-derived fuel gasification plant with carbon capture and storage for power, heating, and hydrogen production",10.1002/ep.14472
Thermodynamic and environmental analysis of two-stage series supercritical water gasification of biomass for hydrogen production,10.1016/j.biombioe.2024.107415
Machine learning and LSSVR model optimization for gasification process prediction,10.1007/s41939-024-00552-x
CFD Simulation of Moving-Bed Pyrolizer for Sewage Sludge Considering Gas and Tar Behavior,10.3390/su162210119
"Novel integrated system for power, hydrogen, and ammonia production using direct oxy-combustion sCO2 power cycle with automatic CO2 capture, water electrolyzer, and Haber-Bosch process",10.1016/j.energy.2024.132554
Hydrogen production from sorption-enhanced steam gasification of municipal solid waste using Ni-Ca-Al bi-functional catalysts,10.1016/j.ijhydene.2024.09.195
Revolutionary Energy Harvesting: Gravity-Driven Piezocatalysts for Sustainable Hydrogen Production in MoS2@Mo2CTx Systems,10.1002/aenm.202402164
Low-emission hydrogen production from gasification of Australian coals – Process simulation and technoeconomic assessment,10.1016/j.ijhydene.2024.08.256
Optimization of molecular dynamics in hydrogen production through phenol gasification in supercritical water,10.1016/j.joei.2024.101757
Study on detailed reaction pathways of sulfur-containing alkali lignin during supercritical water gasification for hydrogen production,10.1016/j.renene.2024.121195
Gasification of sago dreg waste in a top-lit updraft fixed bed gasifier: Syngas composition and its effect with additional Al2O3 as catalyst,10.1016/j.ecmx.2024.100775
CH4 and CO2 Reductions from Methanol Production Using Municipal Solid Waste Gasification with Hydrogen Enhancement,10.3390/su16198649
Production of green hydrogen through PEM water electrolysis,10.1515/pac-2023-1022
Carbonization and Gasification of Cow-Dung and Fe3O4 Nanoparticles at Different Operating Conditions for Hydrogen Production,10.1002/slct.202402515
Systematic assessment for an integrated hydrogen approach towards the cross-regional application considering solar thermochemical and methanol carrier1,10.1016/j.apenergy.2024.123568
Modeling and thermodynamic optimization of distributed combined heat and power system based on biomass chemical looping hydrogen generation process,10.1016/j.cep.2024.109862
Increased hydrogen production in co-gasification of sewage sludge and municipal solid waste through two-stage fluidized bed gasification process over metal-coated activated carbon,10.1016/j.fuel.2024.132037
Solar-driven gasification for syngas production at low temperatures using a rotary hybrid porous media reactor,10.1016/j.cej.2024.153011
